HomeID,YearBuilt,SquareFeet,HeatingType,InsulationLevel,WindowType,AirSealing,Occupants,ClimateZone,HomeType,PredictedEnergyCost,EnergyRating
1,1984,1650,Oil,Medium,Double,Average,3,Subarctic,Single-Family,2950,54
2,1996,2100,Natural Gas,High,Triple,Tight,4,Subarctic,Single-Family,2100,72
3,1978,1250,Electric,Low,Single,Poor,2,Subarctic,Single-Family,3400,42
4,2004,1850,Oil,Medium,Double,Average,3,Subarctic,Single-Family,2600,63
5,2012,2300,Heat Pump,High,Triple,Tight,5,Arctic,Single-Family,1800,78
6,1990,1450,Natural Gas,Medium,Double,Average,2,Subarctic,Single-Family,2450,59
7,1988,1600,Electric,Low,Single,Poor,3,Arctic,Single-Family,3550,40
8,2008,2000,Natural Gas,High,Triple,Tight,4,Subarctic,Single-Family,2050,75
9,1975,1200,Oil,Low,Single,Poor,2,Subarctic,Single-Family,3600,38
10,1982,1550,Electric,Medium,Double,Average,2,Arctic,Single-Family,2900,55
11,1998,1750,Natural Gas,High,Triple,Tight,4,Subarctic,Single-Family,2200,70
12,2006,1900,Heat Pump,High,Triple,Tight,3,Arctic,Single-Family,1950,77
13,1980,1400,Oil,Low,Single,Poor,2,Subarctic,Single-Family,3450,41
14,1993,1650,Electric,Medium,Double,Average,3,Subarctic,Single-Family,2750,56
15,2015,2500,Heat Pump,High,Triple,Tight,4,Arctic,Single-Family,1700,82
16,1972,1100,Oil,Low,Single,Poor,2,Subarctic,Single-Family,3800,36
17,2001,1850,Natural Gas,Medium,Double,Average,3,Arctic,Single-Family,2400,64
18,1995,1700,Electric,Low,Single,Poor,2,Subarctic,Single-Family,3300,45
19,1986,1600,Oil,Medium,Double,Average,3,Arctic,Single-Family,2950,52
20,2010,2200,Heat Pump,High,Triple,Tight,4,Subarctic,Single-Family,1850,80
21,1991,1500,Natural Gas,Medium,Double,Average,2,Arctic,Single-Family,2550,60
22,1985,1300,Electric,Low,Single,Poor,2,Subarctic,Single-Family,3500,43
23,1997,1750,Oil,Medium,Double,Average,3,Arctic,Single-Family,2650,57
24,2003,1950,Heat Pump,High,Triple,Tight,4,Subarctic,Single-Family,1900,76
25,2011,2250,Natural Gas,High,Triple,Tight,4,Arctic,Single-Family,2000,79
26,1983,1550,Electric,Medium,Double,Average,3,Subarctic,Single-Family,2800,55
27,1989,1600,Oil,Low,Single,Poor,2,Arctic,Single-Family,3400,44
28,1994,1700,Natural Gas,Medium,Double,Average,3,Subarctic,Single-Family,2500,61
29,1977,1250,Electric,Low,Single,Poor,2,Arctic,Single-Family,3600,39
30,2007,2100,Heat Pump,High,Triple,Tight,4,Subarctic,Single-Family,1800,81
31,1981,1450,Oil,Medium,Double,Average,3,Arctic,Single-Family,3000,53
32,1999,1800,Natural Gas,High,Triple,Tight,4,Subarctic,Single-Family,2150,69
33,2013,2350,Heat Pump,High,Triple,Tight,5,Arctic,Single-Family,1750,83
34,1976,1200,Electric,Low,Single,Poor,2,Subarctic,Single-Family,3650,37
35,1987,1550,Oil,Low,Single,Poor,3,Arctic,Single-Family,3350,46
36,2005,1900,Natural Gas,Medium,Double,Average,3,Subarctic,Single-Family,2450,65
37,1992,1650,Electric,Medium,Double,Average,3,Arctic,Single-Family,2700,58
38,1984,1500,Oil,Low,Single,Poor,2,Subarctic,Single-Family,3500,47
39,2014,2400,Heat Pump,High,Triple,Tight,5,Arctic,Single-Family,1650,84
40,1990,1700,Natural Gas,High,Triple,Tight,4,Subarctic,Single-Family,2250,68
41,1978,1300,Electric,Low,Single,Poor,2,Subarctic,Condo,3000,46
42,2002,1850,Natural Gas,Medium,Double,Average,3,Subarctic,Condo,2400,63
43,1996,1600,Electric,Low,Single,Poor,2,Arctic,Condo,3100,48
44,2016,2200,Heat Pump,High,Triple,Tight,4,Subarctic,Condo,1750,82
45,1974,1150,Oil,Low,Single,Poor,2,Arctic,Condo,3550,40
46,1988,1500,Natural Gas,Medium,Double,Average,3,Subarctic,Condo,2600,59
47,1993,1650,Electric,Medium,Double,Average,3,Arctic,Condo,2750,56
48,2009,1950,Heat Pump,High,Triple,Tight,4,Subarctic,Condo,1850,78
49,1991,1450,Oil,Low,Single,Poor,2,Arctic,Condo,3250,49
50,1985,1550,Natural Gas,Medium,Double,Average,3,Subarctic,Condo,2550,61
51,2011,2300,Heat Pump,High,Triple,Tight,5,Arctic,Duplex,1700,85
52,1997,1750,Electric,Low,Single,Poor,3,Subarctic,Duplex,3100,50
53,1989,1600,Natural Gas,Medium,Double,Average,3,Arctic,Duplex,2600,62
54,1975,1300,Oil,Low,Single,Poor,2,Subarctic,Duplex,3450,42
55,2004,2000,Heat Pump,High,Triple,Tight,4,Arctic,Duplex,1800,80
56,1999,1700,Electric,Medium,Double,Average,3,Subarctic,Duplex,2700,57
57,1983,1500,Natural Gas,Low,Single,Poor,2,Arctic,Duplex,3000,52
58,1995,1800,Oil,Medium,Double,Average,3,Subarctic,Duplex,2800,58
59,1978,1350,Electric,Low,Single,Poor,2,Arctic,Duplex,3500,44
60,2006,1950,Heat Pump,High,Triple,Tight,4,Subarctic,Duplex,1900,77
61,2012,2400,Natural Gas,High,Triple,Tight,5,Arctic,Townhome,1950,82
62,1994,1600,Electric,Low,Single,Poor,3,Subarctic,Townhome,3150,49
